Instance,Gap_Static_Robuste,solve_robust_dual_Time,solve_robust_dual_Gap_LB,solve_cutting_planes_CB_Time,solve_cutting_planes_CB_Gap_LB,solve_cutting_planes_noCB_Time,solve_cutting_planes_noCB_Gap_LB,regret_greedy_robust_Time,regret_greedy_robust_Gap_LB
10_ulysses_3.tsp,152.04%,0.08,0.00%,0.59,0.00%,0.82,0.00%,0.00,2.08%
10_ulysses_6.tsp,663.22%,0.08,0.00%,0.61,0.00%,0.36,0.00%,0.00,0.00%
10_ulysses_9.tsp,4522.09%,0.01,0.00%,0.56,0.00%,0.78,0.00%,0.00,0.00%
14_burma_3.tsp,41.04%,0.11,0.00%,0.65,0.00%,1.29,0.00%,0.00,0.00%
14_burma_6.tsp,137.95%,0.16,0.00%,0.86,0.00%,9.91,0.00%,0.00,0.00%
14_burma_9.tsp,339.43%,0.28,0.00%,1.47,0.00%,9.55,0.00%,0.00,15.59%
22_ulysses_3.tsp,26.19%,1.61,0.00%,2.51,0.00%,94.50,0.00%,0.02,0.12%
22_ulysses_6.tsp,28.23%,349.45,0.00%,400.01,8.90%,428.07,0.00%,0.00,8.90%
22_ulysses_9.tsp,147.83%,400.00,41.52%,400.01,47.73%,195.97,47.73%,0.00,47.73%
26_eil_3.tsp,17.85%,6.06,0.00%,14.02,0.00%,437.96,0.00%,0.00,0.00%
26_eil_6.tsp,25.48%,400.06,14.54%,400.01,23.75%,420.28,1.90%,0.00,23.75%
26_eil_9.tsp,38.47%,400.02,31.30%,400.03,44.78%,420.23,6.73%,0.00,48.13%
30_eil_3.tsp,11.63%,20.02,0.00%,35.08,0.00%,420.22,0.00%,0.00,0.00%
30_eil_6.tsp,22.82%,400.00,24.53%,400.02,29.16%,420.20,18.65%,0.00,28.60%
30_eil_9.tsp,34.73%,400.00,30.74%,400.01,34.89%,420.36,26.01%,0.00,37.49%
34_pr_3.tsp,24.32%,274.05,0.00%,302.54,0.01%,420.55,0.00%,0.00,0.01%
34_pr_6.tsp,30.41%,400.01,34.41%,400.02,41.50%,420.36,17.31%,0.00,39.44%
34_pr_9.tsp,64.63%,400.01,42.29%,400.01,51.06%,420.38,25.85%,0.00,49.67%
38_rat_3.tsp,24.13%,400.01,1.83%,400.02,11.72%,420.27,6.13%,0.00,12.91%
38_rat_6.tsp,50.92%,20.01,38.28%,400.03,38.89%,420.31,22.78%,0.00,38.28%
38_rat_9.tsp,56.80%,20.03,48.97%,400.04,48.16%,420.76,16.42%,0.00,50.00%
40_eil_3.tsp,16.23%,400.01,4.44%,400.01,11.13%,420.47,14.78%,0.00,11.13%
40_eil_6.tsp,47.89%,20.01,33.85%,400.02,33.83%,420.59,30.94%,0.02,32.70%
40_eil_9.tsp,63.30%,20.11,44.03%,400.35,42.47%,421.26,30.53%,0.00,43.42%
44_lin_3.tsp,20.44%,400.01,14.95%,400.02,22.24%,420.44,21.06%,0.00,22.37%
44_lin_6.tsp,67.76%,20.06,45.13%,400.02,45.84%,421.09,39.27%,0.00,44.86%
44_lin_9.tsp,59.49%,20.01,49.26%,400.05,49.15%,421.23,22.26%,0.00,49.81%
48_att_3.tsp,9.03%,103.36,0.00%,183.60,0.00%,420.31,3.04%,0.00,2.96%
48_att_6.tsp,38.75%,400.10,33.18%,400.02,42.22%,421.49,49.12%,0.00,38.57%
48_att_9.tsp,67.36%,20.02,47.45%,400.03,47.97%,421.24,48.45%,0.00,47.37%
52_berlin_3.tsp,11.23%,400.03,18.38%,400.02,21.38%,420.43,26.70%,0.00,21.85%
52_berlin_6.tsp,37.35%,20.03,49.44%,400.03,48.47%,421.19,47.74%,0.00,49.20%
52_berlin_9.tsp,83.97%,20.02,59.73%,400.02,57.74%,421.38,61.08%,0.00,59.41%
70_st_3.tsp,8.67%,20.02,16.36%,400.03,16.36%,421.04,40.09%,0.00,16.36%
70_st_6.tsp,29.63%,20.02,29.77%,400.06,29.68%,421.59,56.16%,0.00,29.28%
70_st_9.tsp,55.75%,20.04,36.21%,400.05,36.81%,422.26,67.75%,0.00,37.85%
80_gr_3.tsp,9.62%,20.04,22.06%,400.03,22.06%,421.30,36.74%,0.00,22.06%
80_gr_6.tsp,28.87%,20.05,29.80%,400.24,29.44%,421.74,59.73%,0.00,30.39%
80_gr_9.tsp,63.14%,20.03,42.06%,400.07,41.01%,423.13,66.32%,0.00,41.21%
100_kroA_3.tsp,5.97%,20.07,17.30%,400.02,17.30%,421.76,42.96%,0.00,17.30%
100_kroA_6.tsp,18.06%,20.07,24.67%,400.04,24.55%,422.95,62.82%,0.00,24.55%
100_kroA_9.tsp,42.56%,20.08,32.35%,400.49,33.59%,424.26,72.17%,0.00,33.79%
202_gr_3.tsp,7.37%,20.10,38.28%,400.04,38.20%,426.18,44.41%,0.00,38.44%
202_gr_6.tsp,86.93%,,,,,430.34,,,
202_gr_9.tsp,21.71%,20.10,55.48%,400.07,55.50%,434.70,78.61%,0.00,55.82%
318_lin_3.tsp,39.66%,,,,,434.97,,,
318_lin_6.tsp,7.56%,20.10,25.79%,400.10,25.22%,444.31,67.41%,0.02,25.40%
318_lin_9.tsp,18.45%,20.23,31.52%,400.47,31.71%,454.83,75.03%,0.04,31.25%
400_rd_3.tsp,0.69%,20.18,21.82%,400.12,21.82%,442.49,52.74%,0.05,21.82%
400_rd_6.tsp,3.11%,20.30,100.00%,,,458.08,100.00%,0.03,100.00%
400_rd_9.tsp,6.92%,20.18,100.00%,,,407.01,100.00%,0.03,100.00%
532_att_3.tsp,11.91%,20.14,41.10%,400.20,40.95%,461.02,57.62%,0.08,40.93%
532_att_6.tsp,14.86%,20.23,100.00%,,,428.40,100.00%,0.08,100.00%
532_att_9.tsp,23.57%,20.41,100.00%,,,467.26,100.00%,0.09,100.00%