Instance,Min_Opt_Robust,Gap_Static_Robuste,solve_robust_dual_Time,solve_robust_dual_Gap_LB,solve_cutting_planes_CB_Time,solve_cutting_planes_CB_Gap_LB,regret_greedy_robust_Time,regret_greedy_robust_Gap_LB
10_ulysses_3.tsp,137.00,152.04%,0.08,0.00%,0.57,0.00%,0.00,2.08%
10_ulysses_6.tsp,55.12,663.22%,0.09,0.00%,0.60,0.00%,0.00,0.00%
10_ulysses_9.tsp,33.29,4522.09%,0.02,0.00%,0.56,0.00%,0.00,0.00%
14_burma_3.tsp,93.39,41.04%,0.11,0.00%,0.65,0.00%,0.00,0.00%
14_burma_6.tsp,42.74,137.95%,0.15,0.00%,0.84,0.00%,0.00,0.00%
14_burma_9.tsp,20.76,339.43%,0.27,0.00%,1.40,0.00%,0.00,15.59%
22_ulysses_3.tsp,358.64,26.19%,1.48,0.00%,2.35,0.00%,0.00,0.12%
22_ulysses_6.tsp,116.53,41.02%,140.60,0.00%,400.01,0.00%,0.00,0.00%
22_ulysses_9.tsp,64.97,147.83%,400.01,32.33%,400.01,32.33%,0.00,32.33%
26_eil_3.tsp,"2,297.63",24.17%,5.98,0.00%,14.25,0.00%,0.00,0.00%
26_eil_6.tsp,982.69,61.44%,400.00,11.84%,400.01,11.84%,0.00,11.84%
26_eil_9.tsp,741.54,133.36%,400.01,27.65%,400.04,29.01%,0.00,28.75%
30_eil_3.tsp,"3,021.11",12.18%,20.45,0.00%,35.71,0.00%,0.00,0.00%
30_eil_6.tsp,"1,213.74",39.77%,400.01,23.22%,400.02,23.31%,0.00,23.31%
30_eil_9.tsp,713.97,53.11%,400.02,28.35%,400.01,28.35%,0.00,29.74%
34_pr_3.tsp,"646,626.10",31.03%,219.97,0.00%,292.55,0.00%,0.00,0.00%
34_pr_6.tsp,"286,335.47",74.85%,400.02,29.26%,400.02,32.91%,0.00,29.26%
34_pr_9.tsp,"184,343.61",134.83%,400.03,41.81%,400.03,44.10%,0.00,49.21%
38_rat_3.tsp,"8,586.60",31.99%,240.76,0.00%,400.02,0.00%,0.01,1.35%
38_rat_6.tsp,"4,142.27",88.82%,400.02,31.49%,400.03,31.49%,0.00,31.49%
38_rat_9.tsp,"2,895.59",156.73%,400.10,47.77%,400.05,48.96%,0.00,48.17%
40_eil_3.tsp,"6,387.51",16.23%,385.58,0.00%,400.02,0.00%,0.00,0.00%
40_eil_6.tsp,"2,750.24",51.76%,400.03,29.20%,400.02,28.00%,0.00,28.08%
40_eil_9.tsp,"1,701.15",84.98%,400.06,35.80%,400.09,39.10%,0.00,40.60%
44_lin_3.tsp,"160,187.44",23.44%,400.01,13.33%,400.02,13.33%,0.00,13.47%
44_lin_6.tsp,"70,329.69",82.29%,400.04,38.38%,400.02,37.95%,0.00,38.70%
44_lin_9.tsp,"41,819.40",132.65%,400.03,44.54%,400.08,46.25%,0.01,47.10%
48_att_3.tsp,"646,915.37",9.03%,75.00,0.00%,181.05,0.00%,0.00,2.96%
48_att_6.tsp,"276,677.38",42.22%,400.03,34.61%,400.03,35.01%,0.00,34.23%
48_att_9.tsp,"162,796.54",66.91%,400.03,44.29%,400.05,45.13%,0.00,43.89%
52_berlin_3.tsp,"171,519.27",11.58%,400.06,15.67%,400.02,16.24%,0.00,16.84%
52_berlin_6.tsp,"68,296.07",36.08%,400.03,43.35%,400.03,44.11%,0.00,44.85%
52_berlin_9.tsp,"45,466.57",78.88%,400.02,53.66%,400.03,56.29%,0.00,57.82%
70_st_3.tsp,"25,540.46",8.67%,400.03,11.01%,400.03,11.01%,0.00,11.01%
70_st_6.tsp,"10,070.98",29.17%,400.05,27.61%,400.02,28.16%,0.00,29.21%
70_st_9.tsp,"6,094.92",54.97%,400.06,35.74%,400.06,36.66%,0.00,37.53%
80_gr_3.tsp,"21,413.54",9.62%,400.04,18.55%,400.05,18.55%,0.00,18.55%
80_gr_6.tsp,"7,775.19",28.87%,400.09,26.75%,400.10,26.71%,0.00,27.57%
80_gr_9.tsp,"5,189.67",64.01%,400.14,40.03%,400.06,39.98%,0.00,41.36%
100_kroA_3.tsp,"1,541,207.83",5.97%,400.07,16.28%,400.08,16.28%,0.00,16.28%
100_kroA_6.tsp,"564,652.95",17.79%,400.04,24.03%,400.05,24.20%,0.00,25.03%
100_kroA_9.tsp,"332,091.63",38.84%,400.09,31.94%,400.09,30.48%,0.00,33.28%
202_gr_3.tsp,"69,641.30",7.04%,400.11,37.76%,400.04,37.54%,0.01,37.54%
202_gr_6.tsp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
202_gr_9.tsp,"15,618.48",21.39%,401.25,52.30%,400.08,52.48%,0.02,52.21%
318_lin_3.tsp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
318_lin_6.tsp,"6,253,230.45",7.67%,402.45,22.42%,400.07,22.61%,0.04,21.99%
318_lin_9.tsp,"3,456,544.45",17.59%,400.18,25.94%,400.09,25.22%,0.04,25.25%
400_rd_3.tsp,"8,467,238.27",0.69%,400.08,21.59%,400.37,21.59%,0.05,21.59%
400_rd_6.tsp,"2,934,449.17",3.01%,400.63,24.25%,NaN,NaN,0.03,24.41%
400_rd_9.tsp,"1,574,966.31",7.22%,400.56,24.58%,NaN,NaN,0.03,25.03%
532_att_3.tsp,"86,259,044.44",11.91%,400.21,40.71%,400.09,40.71%,0.08,40.78%
532_att_6.tsp,"28,904,295.84",15.46%,400.30,43.70%,NaN,NaN,0.08,44.23%
532_att_9.tsp,"16,453,730.04",23.00%,400.34,48.68%,NaN,NaN,0.08,49.83%